Desc Bibliothèque;Desc Statut Exemplaire;ID Statut Exemplaire;Titre;No de Notice BIB;Desc4;Desc5;Auteur;Date Publication;Desc Format
BU St-Jean;En rayon;18;Cancérologie, hématologie;268879;PPN145704580;;Albiges-Sauvin, Laurence;2010;Books
BU St-Jean;En rayon;18;Cancérologie, hématologie;280185;PPN167578103;;Vogin, Guillaume (1980-....);2013;Books
BU St-Jean;En rayon;18;Cancérologie, hématologie, gériatrie, soins palliatifs et douleur, MPR;418808;PPN221587772;;Gavoille, Antoine (19..-....) (interne en médecine);2017;Books
BU St-Jean;En rayon;18;Cancérologie, onco-hématologie;309811;PPN156823403;;Contejean, Adrien;2011;Books
BU St-Jean;En rayon;18;Cancérologie, onco-hématologie;338252;PPN170711188;;Azais, Julie;2013;Books
BU St-Jean;En rayon;18;Cancérologie, onco-hématologie;340788;PPN176917225;;Sokal, Aurélien;2014;Books
BU St-Jean;En rayon;18;Cancérologie, onco-hématologie;352850;PPN175158851;;Becquart, Ondine;2013;Books
BU St-Jean;En rayon;18;Cancérologie, onco-hématologie;355182;PPN183604954;;Sartre, Benjamin;2014;Books
BU St-Jean;En rayon;18;Cancérologie, onco-hématologie;355842;PPN18268315X;;Lemoine, Pauline (1985-....);2014;Books
BU St-Jean;En rayon;18;Cancérologie, oncohématologie;397984;PPN190713976;;Mascitti, Hélène;2015;Books
BU St-Jean;En rayon;18;Cardiologie;102661;PPN122097955;;Bajer, Benjamin;2008;Books
BU St-Jean;En rayon;18;Cardiologie;124401;PPN136335780;;Payot, Laurent;2009;Books
BU St-Jean;En rayon;18;Cardiologie;125601;PPN137445091;;Delahaye, François (1957-....);2009;Books
BU St-Jean;En rayon;18;Cardiologie;139188;PPN140137408;;Lellouche, Nicolas;2010;Books
BU St-Jean;En rayon;18;Cardiologie;145471;PPN143141562;;Guindolet, D.;2010;Books
BU St-Jean;En rayon;18;Cardiologie;271131;PPN148142893;;Gautier, Mathieu (1976-....);2010;Books
BU St-Jean;En rayon;18;Cardiologie;304128;PPN154226831;;Seguro, F.;2011;Books
BU St-Jean;En rayon;18;Cardiologie;306534;PPN152499083;;Lebreton, Clément;2011;Books
BU St-Jean;En rayon;18;Cardiologie;312182;PPN157419614;;Baudry, Guillaume (1986-....);2011;Books
BU St-Jean;En rayon;18;Cardiologie;324906;PPN16419133X;;Huber, Arthur (1986-....);2012;Books
BU St-Jean;En rayon;18;Cardiologie;329367;PPN165599286;;Martin, Gilles (1988-....) (médecin);2012;Books
BU St-Jean;En rayon;18;Cardiologie;338270;PPN170713067;;Guedeney, Paul;2013;Books
BU St-Jean;En rayon;18;Cardiologie;349629;PPN180905031;;Méjean, Simon (1984-....);2014;Books
BU St-Jean;En rayon;18;Cardiologie;350427;PPN183659562;;;2015;Books
BU St-Jean;En rayon;18;Cardiologie;351470;PPN181265958;;Cherruault, Marlène;2014;Books
BU St-Jean;En rayon;18;Cardiologie;351901;PPN180876880;;Gerbay, Antoine;2014;Books
BU St-Jean;En rayon;18;Cardiologie;352991;PPN182022315;;Meune, Christophe (1969-....);2014;Books
BU St-Jean;En rayon;18;Cardiologie;354895;PPN18289004X;;Baudry, Guillaume;2014;Books
BU St-Jean;En rayon;18;Cardiologie;355184;PPN183604342;;Juguet, William;2014;Books
BU St-Jean;En rayon;18;Cardiologie;395232;PPN188813152;;Cescau, Arthur;2015;Books
BU St-Jean;En rayon;18;Cardiologie;405942;PPN194447294;;Mertens, Émilie;2016;Books
BU St-Jean;En rayon;18;Cardiologie;407767;PPN199679436;;Khorrami, Alexis;2017;Books
BU St-Jean;En rayon;18;Cardiologie;407777;PPN199226008;;Panagides, Vassili;2017;Books
BU St-Jean;En rayon;18;Cardiologie;409302;PPN200732102;;Brunel, Jérémy;2017;Books
BU St-Jean;En rayon;18;Cardiologie;425353;PPN23067089X;;Chong-Nguyen, Caroline;2018;Books
BU St-Jean;En rayon;18;Cardiologie en 1000 questions isolées;405953;PPN193980797;;Salem, Joe-Élie;2016;Books
BU St-Jean;En rayon;18;Cardiologie et pathologies vasculaires;340772;PPN176203117;;Darmon, Arthur;2013;Books
BU St-Jean;En rayon;18;Cardiologie et pathologies vasculaires;351202;PPN180620207;;Darmon, Arthur;2014;Books
BU St-Jean;En rayon;18;Cardiologie maladies vasculaires;407015;PPN197766471;;Fedida, Benjamin;2017;Books
BU St-Jean;En rayon;18;Cardiologie pneumologie;405869;PPN196695562;;Mertz, Philippe;2016;Books
BU St-Jean;En rayon;18;Cardiologie vasculaire;337587;PPN171604164;;Attias, David (1976-....);2013;Books
BU St-Jean;En rayon;18;Cardiologie vasculaire;395229;PPN188999787;;Attias, David;2015;Books
BU St-Jean;En rayon;18;Cardiologie vasculaire;399693;PPN192874381;;Lellouche, Nicolas;2016;Books
BU St-Jean;En rayon;18;Cardiologie vasculaire;425397;PPN230422217;;Attias, David (1976-....);2018;Books
BU St-Jean;En rayon;18;Cardiologie, maladies vasculaires;340735;PPN176444157;;Faroux, Laurent;2014;Books
BU St-Jean;En rayon;18;Cardiologie, maladies vasculaires;341197;PPN176025154;;Costa, Jérôme;2013;Books
BU St-Jean;En rayon;18;Cardiologie, pathologies vasculaires;331999;PPN168101750;;Guindolet, Damien;2013;Books
BU St-Jean;En rayon;18;Cardiologie, pathologies vasculaires;341202;PPN175124582;;Gillet, Romain (1970-....);2013;Books
BU St-Jean;En rayon;18;Cardiologie, pathologies vasculaires;352759;PPN180465996;;Schouver, Elie Dan (1987-....);2014;Books
BU St-Jean;En rayon;18;Cardiologie, pneumologie;418813;PPN220480478;;Gavoille, Antoine (19..-....) (interne en médecine);2017;Books
BU St-Jean;En rayon;18;Cardiologie, pneumologie;426712;PPN234594101;;Dana, Ophélie;2019;Books
BU St-Jean;En rayon;18;Cardiologie, pneumologie, anesthésie, réanimation;143175;PPN142652466;;Baruteau, Alban-Elouen (1981-....);2010;Books
BU St-Jean;En rayon;18;Carnet des majors;329579;PPN167362496;;Lepelletier, Clémence (1988-....);2012;Books
BU St-Jean;En rayon;18;Chiffres incontournables;277719;PPN149851456;;Kassir, Radwan;2010;Books
BU St-Jean;En rayon;18;Chirurgie;315632;PPN158946952;;Amelot, Aymeric;2012;Books
BU St-Jean;En rayon;18;Chirurgie;424962;PPN231818408;;Tikvesa, Dino;2019;Books
BU St-Jean;En rayon;18;Chirurgie générale;340750;PPN176038868;;Auchère, Clément;2013;Books
BU St-Jean;En rayon;18;Chirurgie générale;340792;PPN177315962;;Auchère, Clément;2014;Books
BU St-Jean;En rayon;18;Chirurgie générale, viscérale et digestive;354861;PPN183538633;;Collège français de chirurgie générale, viscérale et digestive;2015;Books
BU St-Jean;En rayon;18;Chirurgie maxillo-faciale;416359;PPN224688855;;Rougier, Guillaume;2018;Books
BU St-Jean;En rayon;18;Chirurgie maxillo-faciale et stomatologie;306530;PPN154654396;;Collège hospitalo-universitaire français de chirurgie maxillo-faciale et stomatologie;2011;Books
BU St-Jean;En rayon;18;Chirurgie maxillo-faciale et stomatologie;351161;PPN181036649;;Collège hospitalo-universitaire français de chirurgie maxillo-faciale et stomatologie;2014;Books
BU St-Jean;En rayon;18;Chirurgie maxillo-faciale et stomatologie;411124;PPN204046211;;;2017;Books
BU St-Jean;En rayon;18;Chirurgie, orthopédie, traumatologie, rééducation;338369;PPN169255522;;Gonçalves, Henrique (1986-....);2013;Books
BU St-Jean;En rayon;18;Classifications, critères et scores aux ECN;337738;PPN171818210;;Beroud, Sébastien (1987-....);2013;Books
BU St-Jean;En rayon;18;Coaching du major pour l'iECN;397985;PPN190765623;;Vibert, Julien (1983-....);2015;Books
BU St-Jean;En rayon;18;Conférences de consensus;331659;PPN16902802X;;Guiol, Julien (1984-....);2013;Books
BU St-Jean;En rayon;18;Conférences de consensus;336460;PPN172296722;;Risse, Jessie;2013;Books
BU St-Jean;En rayon;18;Conférences de consensus 2008-2009 & recommandations;277278;PPN149014007;;Urena Dores, Aurélie;2010;Books
BU St-Jean;En rayon;18;Conférences de consensus aux ECN;124750;PPN133686426;;;2009;Books
BU St-Jean;En rayon;18;Conférences de consensus aux ECN;140205;PPN139700544;;;2010;Books
BU St-Jean;En rayon;18;Conférences de consensus et des textes officiels;268465;PPN147234999;;Guiol, Julien (1984-....);2010;Books
BU St-Jean;En rayon;18;Conférences de consensus et recommandations;351973;PPN177187700;;Mokri, Laetitia;2014;Books
BU St-Jean;En rayon;18;Conférences de consensus et recommandations 2007-2008;306214;PPN154814962;;Cloché, Thibault;2011;Books
BU St-Jean;En rayon;18;Conférences de consensus et recommandations 2008-2009;312804;PPN158151151;;Durand-Viel, Guillaume;2011;Books
BU St-Jean;En rayon;18;Conférences de consensus et recommandations 2009-2010;304122;PPN153077883;;Boutin, A. B.;2011;Books
BU St-Jean;En rayon;18;Conférences de consensus et recommandations 2009-2010;312247;PPN157418278;;Dussouil, Anne-Sophie (1987-....);2011;Books
BU St-Jean;En rayon;18;Conférences de consensus et recommandations 2010-2011;312254;PPN157448185;;Huber, Coline (1987-....);2011;Books
BU St-Jean;En rayon;18;Conférences de consensus et recommandations 2011-2012;329580;PPN16713647X;;Grenot, Marine;2012;Books
BU St-Jean;En rayon;18;Consensus ECN 2015;351159;PPN181270641;;;2014;Books
BU St-Jean;En rayon;18;Consensus ECN 2016;399696;PPN191554189;;;2015;Books
BU St-Jean;En rayon;18;Consensus ECN 2017;408574;PPN197741010;;;2016;Books
BU St-Jean;En rayon;18;Consensus ECN 2018;412226;PPN204790484;;;2017;Books
BU St-Jean;En rayon;18;Consensus ECN 2019;422806;PPN231076770;;;2018;Books
BU St-Jean;En rayon;18;Croissance urbaine et mélanges ethniques;79680;PPN108961516;;Bessaignet, Pierre;1969;Books
BU St-Jean;En rayon;18;Dermatologie;121691;PPN135498465;;Toledano, Cécile;2009;Books
BU St-Jean;En rayon;18;Dermatologie;268462;PPN144903873;;Schneider, Pierre (19..-....) (interne);2010;Books
BU St-Jean;En rayon;18;Dermatologie;270903;PPN132656914;;Gwet, Bell Beya;2009;Books
BU St-Jean;En rayon;18;Dermatologie;309191;PPN152500324;;Lebreton, Clément;2011;Books
BU St-Jean;En rayon;18;Dermatologie;335058;PPN170562816;;Bahadoran, Philippe;2013;Books
BU St-Jean;En rayon;18;Dermatologie;351164;PPN18089370X;;Kluger, Nicolas;2014;Books
BU St-Jean;En rayon;18;Dermatologie;352195;PPN182314405;;;2014;Books
BU St-Jean;En rayon;18;Dermatologie;357661;PPN183581873;;Merlant, Marie;2014;Books
BU St-Jean;En rayon;18;Dermatologie;406935;PPN198045689;;Hamroun, Sabrina;2017;Books
BU St-Jean;En rayon;18;Dermatologie;412603;PPN22105474X;;;2017;Books
BU St-Jean;En rayon;18;Dermatologie;415692;PPN223698334;;Pham, Félix;2017;Books
BU St-Jean;En rayon;18;Dermatologie Vénérologie;340736;PPN177153296;;Faroux, Laurent;2013;Books
BU St-Jean;En rayon;18;Dermatologie et vénéréologie;102660;PPN122094239;;Bouvresse, Sophie (1979-....);2008;Books
BU St-Jean;En rayon;18;Dermatologie vénéréologie;352919;PPN182023206;;Eberst-Malclès, Eléonore (1982-....);2014;Books
BU St-Jean;En rayon;18;Dermatologie vénéréologie;405884;PPN186167008;;Lesort, Cécile;2015;Books
BU St-Jean;En rayon;18;Dermatologie, infectiologie;418816;PPN22158661X;;Gavoille, Antoine (19..-....) (interne en médecine);2017;Books
BU St-Jean;En rayon;18;Dermatologie, orthopédie, rhumatologie;426710;PPN234594497;;Dana, Ophélie;2019;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie;280194;PPN150195125;;Berkache, K.;2011;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie;281950;PPN148033016;;Monfort, Jean-Benoît;2010;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie;306371;PPN154803952;;Gottlieb, Jérémy;2011;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie;314441;PPN158945085;;Bertolotti, Antoine;2012;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie;329362;PPN165670630;;Faroux, Laurent;2012;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie;336426;PPN172300002;;Pirc, Jean-Marc;2013;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie;407016;PPN197752349;;Lemerre, Jeanne;2017;Books
BU St-Jean;En rayon;18;Dermatologie, vénérologie, maladies de système;269511;PPN147221358;;Huber, Arthur (1986-....);2010;Books
BU St-Jean;En rayon;18;Dermatologie. Toute la dermatologie en 1774 questions et 122 cas clinique;430376;;;Hamroun Sabrina;2019;Books
BU St-Jean;En rayon;18;Dernier tour;340774;PPN176038302;;Mesnard, Charles;2013;Books
BU St-Jean;En rayon;18;Dernier tour;340793;PPN177317078;;Mesnard, Charles;2014;Books
BU St-Jean;En rayon;18;Derniers tours;277706;PPN150404964;;Plessis, Julien (1986-....);2011;Books
BU St-Jean;En rayon;18;Derniers tours;358907;PPN185410995;;Scheifer, Carole;2015;Books
BU St-Jean;En rayon;18;Dernières minutes;422844;PPN230469191;;Laurent, Jérémy (1986-....);2018;Books
BU St-Jean;En rayon;18;Diabétologie, endocrinologie, nutrition;330533;PPN168192608;;Lesven, Sandra (1979-....);2013;Books
BU St-Jean;En rayon;18;Diagnostics différentiels;312814;PPN157706680;;Poulain, Anne-Sophie;2011;Books
BU St-Jean;En rayon;18;Dictionnaire critique de la République;96741;PPN069221790;;;2002;Books
BU St-Jean;En rayon;18;Dictionnaire de philosophie politique;44744;PPN074715690;;;2003;Books
BU St-Jean;En rayon;18;Dossiers de gynécologie, obstétrique;342204;PPN177599200;;Courbière, Blandine (1975-....);2014;Books
BU St-Jean;En rayon;18;Dossiers de médecine générale;412230;PPN20393704X;;Thoreau, Benjamin;2017;Books
BU St-Jean;En rayon;18;Dossiers de pneumologie;308902;PPN156421879;;Collège des enseignants de pneumologie (France);2011;Books
BU St-Jean;En rayon;18;Dossiers difficiles classants;338378;PPN167635247;;Lorenzo, Diane;2012;Books
BU St-Jean;En rayon;18;Dossiers difficiles classants;394793;PPN18842279X;;Wdowiak, Sébastien;2015;Books
