nb_pret;jour_pret;annee_pret;type_lecteur;date_pub;indice;titre;ppn;num;mois_pret;id_lecteur
1;Jeudi;2018;M2;2017;657;DSCG 4;PPN200299123;411689;8;person_195
1;Samedi;2016;M1;2016;512;1000 challenges mathématiques;PPN192720821;401997;12;person_196
1;Vendredi;2016;DO;2010;618;Mettre au monde;PPN142886424;312752;2;person_197
1;Mardi;2017;L2;2012;420;Réussir le TOEIC;PPN164020918;324494;12;person_198
1;Vendredi;2016;M2;2015;658;Finance d'entreprise;PPN188124071;394754;9;person_199
1;Jeudi;2019;M2;2014;658;Communication des associations;PPN175920923;400670;5;person_200
1;Vendredi;2015;L1;2014;616;Annales ECN;PPN177990678;342561;4;person_201
1;Lundi;2019;M1;2012;658;Innovation-responsable;PPN157987884;340940;1;person_202
1;Samedi;2018;LE;2017;657;Comptabilité approfondie;PPN204351537;411733;4;person_203
1;Samedi;2018;LE;2017;657;Comptabilité approfondie;PPN204351537;411733;2;person_204
1;Lundi;2015;L2;2007;618;Puériculture et pédiatrie;PPN119358204;309753;1;person_95
1;Lundi;2018;M1;2013;658;L'essentiel des fusions et acquisitions;PPN170565238;337199;1;person_205
1;Jeudi;2016;M1;2009;658;Le^storytelling en action;PPN139618414;139090;9;person_206
1;Jeudi;2019;M2;2008;658;Le^système McDonald's en France;PPN130543861;115510;3;person_114
1;Mardi;2019;M2;2016;658;La^responsabilité sociale de l'entreprise;PPN191052469;407587;1;person_176
1;Lundi;2015;M2;2010;616;Hépato-gastroentérologie, chirurgie viscérale;PPN14987555X;277287;6;person_207
1;Mardi;2017;L1;2011;658;Management;PPN155114557;314193;10;person_208
1;Mardi;2015;L1;2011;658;Management;PPN155114557;314193;9;person_209
1;Vendredi;2015;L1;2012;616;Hépato-gastro entérologie;PPN171230752;332000;4;person_210
1;Vendredi;2016;M2;2015;610;Maladies infectieuses et tropicales;PPN188220429;360380;11;person_211
1;Mercredi;2018;L3;2017;657;Introduction à la comptabilité;PPN204184347;411745;6;person_212
1;Mardi;2016;M2;2013;616;Dermatologie, vénérologie;PPN172300002;336426;2;person_213
1;Vendredi;2019;M2;2008;658;Le^guide des techniques d'évaluation;PPN121658422;268786;1;person_214
1;Jeudi;2015;M2;1991;658;Culture d'entreprise et histoire;PPN002394316;194155;2;person_215
1;Lundi;2015;M6;2014;616;Le^bon usage du médicament et des thérapeutiques non médicamenteuses;PPN181584867;352994;11;person_188
1;Jeudi;2017;L1;2012;611;Atlas d'anatomie;PPN163650314;333335;4;person_216
1;Jeudi;2015;EC;2009;153;The^development of memory in infancy and childhood;PPN129137855;354791;11;person_217
1;Vendredi;2015;EC;2014;658;Finance d'entreprise;PPN180080059;352176;9;person_218
1;Vendredi;2018;LE;2014;580;Biologie végétale;PPN176021183;395731;5;person_219
1;Mardi;2015;M2;2014;616;Gynécologie, obstétrique;PPN180551671;349631;9;person_69
1;Jeudi;2017;M2;2002;658;Diriger et motiver;PPN067243886;30660;6;person_220
1;Samedi;2015;M2;2013;616;Pédiatrie;PPN172456754;336462;10;person_21
1;Mardi;2016;LE;2015;658;La^boîte à outils du lean;PPN183910273;358208;10;person_221
1;Lundi;2016;M1;2012;658;DSCG 2;PPN164687084;339200;11;person_222
1;Lundi;2015;L1;2010;616;Handicap, douleur;PPN150010052;277159;3;person_223
1;Lundi;2019;M1;2012;657;Comprendre et mettre en oeuvre le contrôle interne;PPN162441037;325504;5;person_85
1;Jeudi;2015;M1;2002;658;Faire passer un entretien de recrutement;PPN066859328;32778;5;person_224
1;Mardi;2016;M1;2007;658;Comment manager un projet;PPN11803460X;98462;1;person_225
1;Vendredi;2016;M2;2015;616;Référentiel de médecine vasculaire et de chirurgie vasculaire;PPN187904987;395084;9;person_226
1;Jeudi;2017;L3;2006;658;L'approche processus;PPN110033329;84795;3;person_227
1;Vendredi;2016;L3;2001;658;Guide pratique du nouveau créateur de start-up;PPN056081642;20835;12;person_228
1;Mardi;2017;M2;2005;658;Le^management de l'intelligence collective;PPN091627060;89597;12;person_229
1;Mardi;2016;M1;2009;658;Marketing management;PPN133984893;126031;9;person_230
1;Mercredi;2016;M2;2004;658;La^médiation en entreprise;PPN076776050;51592;9;person_231
1;Lundi;2017;M2;2015;616;Hématologie;PPN18825692X;360427;2;person_232
1;Jeudi;2017;M1;2013;658;Améliorer la qualité de l'accueil touristique;PPN169611027;337794;5;person_15
1;Vendredi;2019;PU;2016;658;Strategor;PPN19327227X;401704;1;person_233
1;Mercredi;2016;M1;2009;658;Security analysis;PPN137742703;266286;6;person_234
1;Jeudi;2019;M1;2018;616;LCA;PPN229604846;422281;7;person_235
1;Jeudi;2018;LE;2010;374;Lecture et prise de notes;PPN145051277;327631;10;person_236
1;Lundi;2019;M2;2006;910;L'innovation dans l'industrie touristique;PPN110425693;84809;1;person_237
1;Samedi;2015;L2;2008;658;Théorie et management des organisations;PPN128514205;110649;4;person_238
